name,cpu_time_total,cuda_time_total,self_cpu_time_total,self_cuda_time_total,cpu_memory_usage,cuda_memory_usage,self_cpu_memory_usage,self_cuda_memory_usage,cpu_time,cuda_time,count,total_time,size,steps,peak_gpu_ram,Image size
model_inference,4762499,4031347,1020387,0,0,8521216,-1218212,-63634110464,4762499.0,4031347.0,1,4.762398024999129,256,100,3806,256x256
model_inference,99229852,110233562,-36339739,0,0,8522752,-18913752,-1557896547328,99229852.0,110233562.0,1,99.22971322300008,1024,200,6664,1024x1024
model_inference,1147525,443384,132136,0,0,8520704,-1217588,-7770843136,1147525.0,443384.0,1,1.14741439700083,256,10,3806,256x256
model_inference,1191670,483839,121761,0,0,8520704,-1611412,-7774826496,1191670.0,483839.0,1,1.1915315480000572,256,10,3806,256x256
model_inference,5266449,5052474,573010,0,0,8520704,-4756960,-124365936128,5266449.0,5052474.0,1,5.266323123996699,512,50,4786,512x512
model_inference,2915425,2218888,524953,0,0,8520704,-1218204,-35932269056,2915425.0,2218888.0,1,2.91529884099873,256,50,3800,256x256
model_inference,23517260,25531807,1139843,0,0,8521216,-10643350,-553023252992,23517260.0,25531807.0,1,23.517133482000645,768,100,5772,768x768
model_inference,6453378,6104992,402716,0,0,8520704,-18912316,-113000197632,6453378.0,6104992.0,1,6.453237869999839,1024,10,6662,1024x1024
model_inference,46830997,51378665,1346788,0,0,8521216,-18912304,-953657758208,46830997.0,51378665.0,1,46.83086930900026,1024,100,6664,1024x1024
model_inference,91243294,101672396,2382923,0,0,8522752,-18916928,-1883533116928,91243294.0,101672396.0,1,91.24316244800002,1024,200,6674,1024x1024
model_inference,3323776,2881915,284335,0,0,8520704,-10654584,-65138250752,3323776.0,2881915.0,1,3.3236419089989795,768,10,5764,768x768
model_inference,8670037,8009523,1996108,0,0,8522752,-1218016,-126058285568,8670037.0,8009523.0,1,8.669936015998246,256,200,3806,256x256
model_inference,24849098,26935516,1133936,0,0,8521216,-10654764,-555805068288,24849098.0,26935516.0,1,24.848970579001616,768,100,5776,768x768
model_inference,3252299,2819773,260749,0,0,8520704,-10654776,-64441743872,3252299.0,2819773.0,1,3.2521715000002587,768,10,5780,768x768
model_inference,45918754,50806230,1243465,0,0,8521216,-18900882,-958983258112,45918754.0,50806230.0,1,45.918618872000025,1024,100,6660,1024x1024
model_inference,18607249,19697642,2064164,0,0,8522752,-7902872,-491571612160,18607249.0,19697642.0,1,18.60711965099836,512,200,4784,512x512
model_inference,46225073,51356733,2205250,0,0,8522752,-10654764,-1095814417408,46225073.0,51356733.0,1,46.22494151999854,768,200,5772,768x768
model_inference,47807790,53067594,2197758,0,0,8522752,-17732480,-1103240185344,47807790.0,53067594.0,1,47.8076637660015,768,200,5764,768x768
model_inference,1708166,1123160,185894,0,0,8520704,-4756344,-28537410560,1708166.0,1123160.0,1,1.7080385840017698,512,10,4772,512x512
model_inference,23084953,24830699,859538,0,0,8520704,-18912124,-486907961856,23084953.0,24830699.0,1,23.084827207000217,1024,50,6664,1024x1024
model_inference,18826309,20007428,2056329,0,0,8522752,-4756344,-484924004864,18826309.0,20007428.0,1,18.826179293002497,512,200,4784,512x512
model_inference,13247444,14030824,671294,0,0,8520704,-10654588,-283212715008,13247444.0,14030824.0,1,13.247315446998982,768,50,5782,768x768
model_inference,3286125,2838369,275330,0,0,8520704,-10655380,-64519503360,3286125.0,2838369.0,1,3.285994761001348,768,10,5772,768x768
model_inference,9758798,9954605,1094093,0,0,8521216,-4755908,-247102148096,9758798.0,9954605.0,1,9.75868452099894,512,100,4780,512x512
model_inference,23675995,25477002,482240,0,0,8520704,-18902562,-458269014016,23675995.0,25477002.0,1,23.67586869800016,1024,50,6662,1024x1024
model_inference,49895749,54818562,1282337,0,0,8521216,-18900274,-952991259648,49895749.0,54818562.0,1,49.89562183199996,1024,100,6662,1024x1024
model_inference,6098891,5689857,411613,0,0,8520704,-18912304,-112788467200,6098891.0,5689857.0,1,6.09876240299991,1024,10,6662,1024x1024
model_inference,12189819,12917547,690509,0,0,8520704,-10655376,-283235464704,12189819.0,12917547.0,1,12.18968859600136,768,50,5780,768x768
model_inference,46016617,51130055,2177777,0,0,8522752,-10654768,-1103383793152,46016617.0,51130055.0,1,46.016488192002726,768,200,5780,768x768
model_inference,1168913,458764,131133,0,0,8520704,-1218208,-7778693120,1168913.0,458764.0,1,1.1687731189995247,256,10,3806,256x256
model_inference,23554306,25504624,1129471,0,0,8521216,-10642910,-559868104192,23554306.0,25504624.0,1,23.55418045799888,768,100,5764,768x768
model_inference,4799144,4095409,1005746,0,0,8521216,-1217584,-71496061440,4799144.0,4095409.0,1,4.79904215300121,256,100,3792,256x256
model_inference,1191670,483839,121761,0,0,8520704,-1611412,-7774826496,1191670.0,483839.0,1,1.1915315480000572,256,10,3806,256x256
model_inference,2915425,2218888,524953,0,0,8520704,-1218204,-35932269056,2915425.0,2218888.0,1,2.91529884099873,256,50,3800,256x256
model_inference,4762499,4031347,1020387,0,0,8521216,-1218212,-63634110464,4762499.0,4031347.0,1,4.762398024999129,256,100,3806,256x256
model_inference,8670037,8009523,1996108,0,0,8522752,-1218016,-126058285568,8670037.0,8009523.0,1,8.669936015998246,256,200,3806,256x256
model_inference,1708166,1123160,185894,0,0,8520704,-4756344,-28537410560,1708166.0,1123160.0,1,1.7080385840017698,512,10,4772,512x512
model_inference,5233157,5019822,570546,0,0,8520704,-4756348,-124589325824,5233157.0,5019822.0,1,5.233028219001426,512,50,4786,512x512
model_inference,9758798,9954605,1094093,0,0,8521216,-4755908,-247102148096,9758798.0,9954605.0,1,9.75868452099894,512,100,4780,512x512
model_inference,18709352,19798348,2073763,0,0,8522752,-4757140,-485745226240,18709352.0,19798348.0,1,18.70922408099796,512,200,4772,512x512
model_inference,3286125,2838369,275330,0,0,8520704,-10655380,-64519503360,3286125.0,2838369.0,1,3.285994761001348,768,10,5772,768x768
model_inference,13247444,14030824,671294,0,0,8520704,-10654588,-283212715008,13247444.0,14030824.0,1,13.247315446998982,768,50,5782,768x768
model_inference,24849098,26935516,1133936,0,0,8521216,-10654764,-555805068288,24849098.0,26935516.0,1,24.848970579001616,768,100,5776,768x768
model_inference,47807790,53067594,2197758,0,0,8522752,-17732480,-1103240185344,47807790.0,53067594.0,1,47.8076637660015,768,200,5764,768x768
model_inference,1147525,443384,132136,0,0,8520704,-1217588,-7770843136,1147525.0,443384.0,1,1.14741439700083,256,10,3806,256x256
model_inference,2844716,2142202,514606,0,0,8520704,-1218020,-32433889792,2844716.0,2142202.0,1,2.8446156959980726,256,50,3806,256x256
model_inference,4799144,4095409,1005746,0,0,8521216,-1217584,-71496061440,4799144.0,4095409.0,1,4.79904215300121,256,100,3792,256x256
model_inference,8692175,8054634,1995670,0,0,8522752,-1218200,-132687336960,8692175.0,8054634.0,1,8.69207531199936,256,200,3804,256x256
model_inference,1729435,1136584,177894,0,0,8520704,-4757144,-28784460288,1729435.0,1136584.0,1,1.729307207999227,512,10,4780,512x512
model_inference,5266449,5052474,573010,0,0,8520704,-4756960,-124365936128,5266449.0,5052474.0,1,5.266323123996699,512,50,4786,512x512
model_inference,9716320,9948095,1067925,0,0,8521216,-7902692,-240722966528,9716320.0,9948095.0,1,9.716188626000076,512,100,4786,512x512
model_inference,18607249,19697642,2064164,0,0,8522752,-7902872,-491571612160,18607249.0,19697642.0,1,18.60711965099836,512,200,4784,512x512
model_inference,3323776,2881915,284335,0,0,8520704,-10654584,-65138250752,3323776.0,2881915.0,1,3.3236419089989795,768,10,5764,768x768
model_inference,12189819,12917547,690509,0,0,8520704,-10655376,-283235464704,12189819.0,12917547.0,1,12.18968859600136,768,50,5780,768x768
model_inference,23554306,25504624,1129471,0,0,8521216,-10642910,-559868104192,23554306.0,25504624.0,1,23.55418045799888,768,100,5764,768x768
model_inference,46016617,51130055,2177777,0,0,8522752,-10654768,-1103383793152,46016617.0,51130055.0,1,46.016488192002726,768,200,5780,768x768
model_inference,1168913,458764,131133,0,0,8520704,-1218208,-7778693120,1168913.0,458764.0,1,1.1687731189995247,256,10,3806,256x256
model_inference,2720409,2054308,514897,0,0,8520704,-1218200,-32406675456,2720409.0,2054308.0,1,2.720310285996675,256,50,3806,256x256
model_inference,4667083,4037118,986054,0,0,8521216,-1218200,-69014185984,4667083.0,4037118.0,1,4.666986560998339,256,100,3792,256x256
model_inference,8900052,8195062,2031039,0,0,8522752,-1216940,-141269698048,8900052.0,8195062.0,1,8.899952604999271,256,200,3792,256x256
model_inference,1706929,1137870,174129,0,0,8520704,-4744482,-28524989440,1706929.0,1137870.0,1,1.706807643000502,512,10,4786,512x512
model_inference,5210016,4987860,539161,0,0,8520704,-4756956,-123080326656,5210016.0,4987860.0,1,5.209903556999052,512,50,4786,512x512
model_inference,9882285,10119713,1081703,0,0,8521216,-4756532,-241200663040,9882285.0,10119713.0,1,9.88216108600318,512,100,4786,512x512
model_inference,18826309,20007428,2056329,0,0,8522752,-4756344,-484924004864,18826309.0,20007428.0,1,18.826179293002497,512,200,4784,512x512
model_inference,3252299,2819773,260749,0,0,8520704,-10654776,-64441743872,3252299.0,2819773.0,1,3.2521715000002587,768,10,5780,768x768
model_inference,12086091,12829836,664155,0,0,8520704,-10655380,-283093198336,12086091.0,12829836.0,1,12.085960700002031,768,50,5764,768x768
model_inference,23517260,25531807,1139843,0,0,8521216,-10643350,-553023252992,23517260.0,25531807.0,1,23.517133482000645,768,100,5772,768x768
model_inference,46225073,51356733,2205250,0,0,8522752,-10654764,-1095814417408,46225073.0,51356733.0,1,46.22494151999854,768,200,5772,768x768
model_inference,25462252,27656561,816633,0,0,8520704,-18912924,-489424304128,25462252.0,27656561.0,1,25.462111794000062,1024,50,6660,1024x1024
model_inference,5233157,5019822,570546,0,0,8520704,-4756348,-124589325824,5233157.0,5019822.0,1,5.233028219001426,512,50,4786,512x512
model_inference,9716320,9948095,1067925,0,0,8521216,-7902692,-240722966528,9716320.0,9948095.0,1,9.716188626000076,512,100,4786,512x512
model_inference,2844716,2142202,514606,0,0,8520704,-1218020,-32433889792,2844716.0,2142202.0,1,2.8446156959980726,256,50,3806,256x256
model_inference,1706929,1137870,174129,0,0,8520704,-4744482,-28524989440,1706929.0,1137870.0,1,1.706807643000502,512,10,4786,512x512
model_inference,4667083,4037118,986054,0,0,8521216,-1218200,-69014185984,4667083.0,4037118.0,1,4.666986560998339,256,100,3792,256x256
model_inference,1729435,1136584,177894,0,0,8520704,-4757144,-28784460288,1729435.0,1136584.0,1,1.729307207999227,512,10,4780,512x512
model_inference,9882285,10119713,1081703,0,0,8521216,-4756532,-241200663040,9882285.0,10119713.0,1,9.88216108600318,512,100,4786,512x512
model_inference,5210016,4987860,539161,0,0,8520704,-4756956,-123080326656,5210016.0,4987860.0,1,5.209903556999052,512,50,4786,512x512
model_inference,90815019,101136055,399585,0,0,8522752,-18910800,-1393409929728,90815019.0,101136055.0,1,90.8148619399999,1024,200,6660,1024x1024
model_inference,18709352,19798348,2073763,0,0,8522752,-4757140,-485745226240,18709352.0,19798348.0,1,18.70922408099796,512,200,4772,512x512
model_inference,2720409,2054308,514897,0,0,8520704,-1218200,-32406675456,2720409.0,2054308.0,1,2.720310285996675,256,50,3806,256x256
model_inference,12086091,12829836,664155,0,0,8520704,-10655380,-283093198336,12086091.0,12829836.0,1,12.085960700002031,768,50,5764,768x768
model_inference,8900052,8195062,2031039,0,0,8522752,-1216940,-141269698048,8900052.0,8195062.0,1,8.899952604999271,256,200,3792,256x256
model_inference,8692175,8054634,1995670,0,0,8522752,-1218200,-132687336960,8692175.0,8054634.0,1,8.69207531199936,256,200,3804,256x256
model_inference,5923231,5501755,373009,0,0,8520704,-18911692,-113220323328,5923231.0,5501755.0,1,5.9230919459996585,1024,10,6668,1024x1024
